timestamp,RSSI,LQI,Ax,Ay,Az,Gx,Gy,Gz,time
1720506253,-152,8,96,-23,1034,34,-51,81103,8:24:13
1720506253,72,0,96,-23,1033,33,-52,81103,8:24:13
1720506254,72,0,96,-24,1034,32,-51,71103,8:24:14
1720506254,72,0,96,-24,1034,33,-51,81103,8:24:14
1720506254,72,0,96,-23,1035,33,-51,81103,8:24:14
1720506254,-168,4,97,-24,1032,33,-51,71103,8:24:14
1720506254,-152,8,94,-24,1035,33,-51,71103,8:24:14
1720506254,-152,8,95,-24,1034,33,-51,71103,8:24:14
1720506254,-168,4,96,-23,1031,33,-51,81103,8:24:14
1720506254,-168,4,96,-24,1032,33,-51,81103,8:24:14
1720506254,-136,12,96,-25,1032,32,-52,81103,8:24:14
1720506255,-136,12,96,-24,1033,33,-51,81103,8:24:15
1720506255,-152,8,95,-25,1032,32,-52,81103,8:24:15
1720506255,-152,8,96,-23,1032,32,-52,71103,8:24:15
1720506255,-168,4,96,-23,1032,32,-52,71103,8:24:15
1720506255,-168,4,95,-23,1032,34,-50,81103,8:24:15
1720506255,-152,8,95,-23,1032,34,-50,81103,8:24:15
1720506255,-152,8,94,-23,1031,34,-50,81103,8:24:15
1720506255,-168,4,96,-25,1031,33,-52,81103,8:24:15
1720506255,-168,4,96,-23,1032,34,-51,81103,8:24:15
1720506255,-168,4,96,-23,1032,34,-51,81103,8:24:15
1720506255,-152,8,96,-23,1032,34,-51,81103,8:24:15
1720506255,72,0,96,-24,1033,32,-52,81103,8:24:15
1720506255,72,0,96,-24,1031,33,-51,81103,8:24:15
1720506255,72,0,95,-23,1032,33,-51,81103,8:24:15
1720506256,-168,4,96,-24,1032,33,-51,81103,8:24:16
1720506256,72,0,97,-25,1034,32,-52,81103,8:24:16
1720506256,72,0,97,-25,1034,32,-52,81103,8:24:16
1720506256,-168,4,96,-22,1033,31,-51,71103,8:24:16
1720506256,-168,4,96,-23,1032,33,-52,81103,8:24:16
1720506256,-168,4,95,-23,1034,33,-51,71103,8:24:16
1720506256,-168,4,97,-24,1035,33,-52,71103,8:24:16
1720506256,-168,4,95,-24,1034,32,-52,81103,8:24:16
1720506256,-168,4,96,-24,1032,33,-51,81103,8:24:16
1720506256,72,0,96,-24,1033,34,-52,71103,8:24:16
1720506256,72,0,97,-24,1033,33,-51,81103,8:24:16
1720506256,72,0,97,-24,1033,33,-51,81103,8:24:16
1720506257,-168,4,96,-23,1034,33,-52,81103,8:24:17
1720506257,72,0,96,-23,1031,32,-51,71103,8:24:17
1720506257,72,0,95,-23,1028,32,-51,71103,8:24:17
1720506257,72,0,97,-24,1031,34,-52,81103,8:24:17
1720506257,72,0,96,-25,1030,33,-52,81103,8:24:17
1720506257,-168,4,95,-23,1031,33,-52,81103,8:24:17
1720506258,72,0,96,-23,1031,33,-52,81103,8:24:18
1720506258,72,0,95,-24,1030,33,-52,91103,8:24:18
1720506258,72,0,95,-24,1031,34,-51,81103,8:24:18
1720506258,72,0,96,-24,1032,33,-52,81103,8:24:18
1720506258,-168,4,95,-24,1031,34,-52,71103,8:24:18
1720506258,-168,4,95,-23,1033,33,-52,81103,8:24:18
1720506259,72,0,96,-24,1032,33,-52,81103,8:24:19
1720506259,72,0,95,-23,1032,34,-51,81103,8:24:19
1720506259,-168,4,96,-24,1016,33,-52,71103,8:24:19
1720506259,72,0,95,-24,1031,33,-52,81103,8:24:19
1720506259,-168,4,95,-24,1031,33,-51,71103,8:24:19
1720506259,-168,4,96,-24,1031,33,-51,71103,8:24:19
1720506259,-152,8,97,-25,1033,34,-52,71103,8:24:19
1720506259,-152,8,96,-24,1032,33,-52,81103,8:24:19
1720506260,-168,4,96,-26,1031,34,-51,81103,8:24:20
1720506261,-152,8,96,-24,1034,34,-52,81103,8:24:21
1720506261,-120,16,97,-24,1034,33,-51,81103,8:24:21
1720506261,-152,8,96,-23,1033,33,-51,71103,8:24:21
1720506261,72,0,96,-24,1033,34,-51,71103,8:24:21
1720506261,-168,4,96,-24,1033,33,-52,81103,8:24:21
1720506261,-168,4,96,-24,1032,32,-51,81103,8:24:21
1720506262,72,0,95,-24,1032,33,-51,81103,8:24:22
1720506262,72,0,95,-23,1030,33,-51,81103,8:24:22
1720506263,72,0,96,-24,1031,33,-51,71103,8:24:23
1720506263,-152,8,94,-23,1029,33,-51,81103,8:24:23
1720506263,-168,4,96,-24,1030,34,-51,81103,8:24:23
1720506263,-168,4,96,-24,1033,33,-51,81103,8:24:23
1720506264,72,0,97,-25,1032,32,-52,71103,8:24:24
1720506264,-120,16,96,-24,1032,32,-51,71103,8:24:24
1720506264,-120,16,96,-26,1033,32,-52,81103,8:24:24
1720506264,-104,20,97,-25,1031,33,-52,81103,8:24:24
1720506264,-88,24,96,-25,1033,33,-51,71103,8:24:24
1720506264,-104,20,96,-23,1033,33,-52,81103,8:24:24
1720506264,72,0,95,-24,1032,34,-52,81103,8:24:24
1720506265,72,0,96,-24,1034,34,-51,71103,8:24:25
1720506265,-152,8,95,-24,1033,33,-52,71103,8:24:25
1720506265,-136,12,96,-25,1032,33,-51,71103,8:24:25
1720506265,-120,16,96,-25,1033,33,-51,71103,8:24:25
1720506265,-168,4,96,-25,1033,34,-51,81103,8:24:25
1720506265,-152,8,96,-24,1031,33,-51,81103,8:24:25
1720506265,-152,8,96,-25,1032,33,-52,81103,8:24:25
1720506265,-104,20,95,-25,1032,34,-52,71103,8:24:25
1720506266,-72,28,97,-25,1034,33,-52,91103,8:24:26
1720506266,-88,24,96,-25,1033,33,-51,81103,8:24:26
1720506266,-88,24,96,-25,1034,33,-52,81103,8:24:26
1720506266,-72,28,96,-24,1033,34,-52,71103,8:24:26
1720506266,-56,32,96,-24,1033,33,-52,71103,8:24:26
1720506266,-40,36,96,-25,1033,33,-51,81103,8:24:26
1720506266,-56,32,96,-25,1033,33,-52,71103,8:24:26
1720506266,-56,32,96,-24,1034,33,-51,81103,8:24:26
1720506266,-56,32,96,-24,1033,32,-52,81103,8:24:26
1720506266,-72,28,96,-24,1032,33,-51,71103,8:24:26
1720506267,-72,28,96,-24,1031,33,-52,81103,8:24:27
1720506267,-72,28,96,-26,1033,33,-52,71103,8:24:27
1720506267,-72,28,96,-24,1033,34,-51,81103,8:24:27
1720506267,-88,24,97,-25,1035,33,-52,81103,8:24:27
1720506267,-88,24,96,-24,1032,33,-51,81103,8:24:27
1720506267,-88,24,97,-25,1031,32,-52,81103,8:24:27
1720506267,-104,20,95,-24,1030,33,-51,81103,8:24:27
1720506267,-104,20,96,-25,1030,33,-51,81103,8:24:27
1720506267,-72,28,96,-24,1030,33,-51,81103,8:24:27
1720506267,-104,20,97,-24,1032,33,-51,81103,8:24:27
1720506268,-104,20,95,-25,1030,33,-51,71103,8:24:28
1720506268,-88,24,96,-24,1032,33,-52,81103,8:24:28
1720506268,-88,24,97,-25,1032,33,-51,71103,8:24:28
1720506268,-88,24,97,-24,1031,32,-51,71103,8:24:28
1720506268,-88,24,96,-24,1033,33,-52,71103,8:24:28
1720506268,-88,24,96,-24,1033,33,-52,71103,8:24:28
1720506268,-104,20,96,-25,1033,33,-52,81103,8:24:28
1720506268,-120,16,97,-24,1031,33,-52,71103,8:24:28
1720506268,-136,12,97,-25,1033,33,-51,71103,8:24:28
1720506268,-136,12,97,-25,1032,33,-52,81103,8:24:28
1720506269,-152,8,96,-24,1033,33,-52,71103,8:24:29
1720506269,-136,12,96,-24,1031,33,-51,81103,8:24:29
1720506269,-152,8,96,-25,1033,33,-51,71103,8:24:29
1720506269,-168,4,96,-25,1030,33,-52,71103,8:24:29
1720506270,72,0,96,-25,1031,33,-51,81103,8:24:30
1720506270,72,0,97,-25,1029,33,-52,81103,8:24:30
1720506270,-168,4,97,-25,1032,32,-52,71103,8:24:30
1720506270,72,0,95,-24,1031,33,-52,81103,8:24:30
1720506272,72,0,96,-25,1030,32,-51,71103,8:24:32
1720506273,72,0,97,-26,1031,33,-52,81103,8:24:33
1720506279,-168,4,98,-26,1033,33,-51,81103,8:24:39
1720506279,72,0,96,-27,1031,33,-52,71103,8:24:39
1720506280,-152,8,97,-26,1031,33,-51,81103,8:24:40
1720506280,-136,12,97,-27,1032,33,-52,81103,8:24:40
1720506280,-152,8,97,-27,1028,33,-52,71103,8:24:40
1720506280,-152,8,96,-28,1027,34,-51,81103,8:24:40
1720506280,-136,12,96,-27,1027,32,-52,81103,8:24:40
1720506280,-120,16,96,-27,1027,33,-52,81103,8:24:40
1720506280,-104,20,96,-28,1029,33,-52,81103,8:24:40
1720506280,-88,24,97,-28,1029,32,-52,91103,8:24:40
1720506280,-88,24,97,-28,1027,33,-51,81103,8:24:40
1720506280,-104,20,97,-28,1029,33,-51,91103,8:24:40
1720506281,-120,16,96,-27,1031,33,-51,91103,8:24:41
1720506281,-168,4,96,-29,1027,32,-52,91103,8:24:41
1720506281,72,0,98,-28,1029,31,-51,91103,8:24:41
1720506281,-136,12,97,-29,1030,31,-52,10103,8:24:41
1720506281,-72,28,98,-29,1031,31,-53,10103,8:24:41
1720506281,-104,20,98,-29,1030,33,-52,10103,8:24:41
1720506281,-152,8,99,-30,1029,30,-54,11103,8:24:41
1720506281,-152,8,98,-30,1030,31,-53,91103,8:24:41
1720506282,-104,20,100,-33,1024,31,-52,9103,8:24:42
1720506282,-168,4,99,-33,1028,32,-53,99103,8:24:42
1720506282,72,0,100,-34,1028,34,-51,8103,8:24:42
1720506283,72,0,102,-35,1024,34,-53,9103,8:24:43
1720506283,72,0,101,-35,1026,32,-52,9103,8:24:43
1720506283,72,0,100,-34,1027,34,-51,8103,8:24:43
1720506286,72,0,102,-36,1031,33,-52,8103,8:24:46
1720506287,72,0,102,-37,1028,33,-52,8103,8:24:47
1720506288,72,0,102,-39,1029,33,-51,9103,8:24:48
1720506288,72,0,101,-39,1031,33,-51,9103,8:24:48
1720506288,72,0,102,-38,1030,33,-51,8103,8:24:48
1720506289,72,0,103,-39,1029,33,-51,8103,8:24:49
1720506289,-168,4,102,-38,1029,33,-51,8103,8:24:49
1720506289,72,0,103,-39,1029,33,-52,8103,8:24:49
1720506289,-168,4,102,-39,1031,33,-52,8103,8:24:49
1720506289,-168,4,103,-39,1031,33,-51,8103,8:24:49
1720506289,-168,4,102,-39,1028,33,-52,8103,8:24:49
1720506289,-136,12,102,-39,1029,33,-51,8103,8:24:49
1720506290,-168,4,102,-41,1031,33,-52,9103,8:24:50
1720506290,-168,4,101,-40,1030,33,-52,9103,8:24:50
1720506290,-152,8,102,-40,1029,34,-51,8103,8:24:50
1720506290,-152,8,102,-40,1030,33,-52,9103,8:24:50
1720506290,-168,4,102,-40,1028,33,-51,8103,8:24:50
1720506290,-168,4,103,-40,1027,33,-51,8103,8:24:50
1720506290,-168,4,104,-41,1030,33,-53,8103,8:24:50
1720506290,72,0,104,-40,1030,32,-51,8103,8:24:50
1720506293,72,0,103,-41,1030,33,-52,8103,8:24:53
1720506293,72,0,101,-41,1027,34,-51,8103,8:24:53
1720506296,72,0,103,-40,1027,33,-51,8103,8:24:56
1720506297,-168,4,103,-41,1027,33,-51,8103,8:24:57
1720506297,72,0,102,-41,1029,33,-50,8103,8:24:57
1720506298,-168,4,101,-42,1027,34,-51,8103,8:24:58
1720506298,72,0,102,-41,1027,33,-51,9103,8:24:58
1720506298,72,0,102,-40,1027,33,-52,7103,8:24:58
1720506298,-152,8,103,-41,1027,33,-52,8103,8:24:58
1720506299,72,0,103,-40,1025,33,-52,8103,8:24:59
1720506299,-152,8,102,-41,1028,33,-52,8103,8:24:59
1720506299,-136,12,102,-41,1029,32,-52,8103,8:24:59
1720506299,-168,4,103,-42,1028,33,-51,8103,8:24:59
1720506299,-168,4,103,-41,1029,34,-52,9903,8:24:59
1720506299,-168,4,103,-42,1031,32,-51,8903,8:24:59
1720506299,-168,4,102,-41,1030,33,-51,9903,8:24:59
1720506299,72,0,102,-41,1030,33,-51,9903,8:24:59
1720506300,-168,4,102,-41,1030,33,-51,7903,8:25:00
1720506301,72,0,103,-41,1031,33,-51,7432,8:25:01
1720506301,72,0,102,-42,1029,33,-51,8225,8:25:01
1720506301,72,0,102,-42,1028,33,-51,870,8:25:01
1720506301,-168,4,103,-41,1027,32,-53,740,8:25:01
1720506301,-168,4,102,-42,1026,33,-52,875,8:25:01
1720506302,72,0,102,-42,1028,33,-51,860,8:25:02
1720506310,72,0,103,-42,1028,33,-51,7340,8:25:10
1720506310,-152,8,103,-42,1027,33,-51,7340,8:25:10
1720506310,-136,12,103,-43,1026,33,-52,837,8:25:10
1720506310,72,0,103,-42,1026,33,-51,837,8:25:10
1720506310,72,0,102,-43,1025,32,-51,737,8:25:10
1720506310,-88,24,104,-43,1025,33,-52,737,8:25:10
1720506310,-88,24,102,-42,1023,33,-52,837,8:25:10
1720506310,-104,20,103,-43,1023,33,-52,737,8:25:10
1720506311,-136,12,104,-43,1024,33,-51,737,8:25:11
1720506311,-168,4,102,-42,1021,34,-50,707,8:25:11
1720506311,-152,8,103,-42,1025,33,-51,807,8:25:11
1720506311,-168,4,103,-42,1024,33,-50,807,8:25:11
1720506311,72,0,103,-43,1022,33,-52,807,8:25:11
1720506311,-168,4,103,-43,1024,32,-53,807,8:25:11
1720506311,-152,8,102,-43,1021,32,-52,807,8:25:11
1720506311,-152,8,102,-42,1025,33,-51,807,8:25:11
1720506311,-168,4,103,-42,1024,33,-52,707,8:25:11
1720506311,-136,12,103,-42,1022,33,-52,807,8:25:11
1720506311,-152,8,103,-42,1022,33,-52,807,8:25:11
1720506312,-136,12,102,-42,1019,33,-51,807,8:25:12
1720506312,-120,16,104,-42,1022,33,-52,807,8:25:12
1720506312,-120,16,102,-42,1021,33,-51,807,8:25:12
1720506312,-120,16,103,-43,1021,32,-52,807,8:25:12
1720506312,-104,20,103,-43,1023,32,-50,807,8:25:12
1720506312,-120,16,102,-43,1021,33,-52,807,8:25:12
1720506312,-120,16,103,-44,1020,32,-52,807,8:25:12
1720506312,-136,12,105,-43,1024,34,-52,707,8:25:12
1720506312,-136,12,102,-43,1022,33,-51,707,8:25:12
1720506313,-136,12,102,-42,1021,33,-51,807,8:25:13
1720506313,-120,16,103,-42,1022,33,-52,707,8:25:13
1720506313,-104,20,102,-43,1019,33,-51,807,8:25:13
1720506313,-104,20,102,-42,1019,34,-51,807,8:25:13
1720506313,-104,20,102,-43,1021,33,-53,807,8:25:13
1720506313,-104,20,103,-42,1026,33,-52,707,8:25:13
1720506313,-104,20,103,-42,1026,33,-52,707,8:25:13
1720506313,-104,20,103,-42,1023,33,-51,707,8:25:13
1720506313,-120,16,103,-43,1023,33,-51,807,8:25:13
1720506313,-120,16,103,-43,1023,33,-51,867,8:25:13
1720506313,-120,16,103,-43,1023,33,-51,867,8:25:13
1720506313,-104,20,103,-42,1025,33,-52,867,8:25:13
1720506313,-104,20,103,-42,1025,33,-52,867,8:25:13
1720506313,-120,16,103,-42,1025,33,-52,867,8:25:13
1720506314,-104,20,102,-42,1024,33,-51,767,8:25:14
1720506314,-120,16,102,-43,1025,33,-51,707,8:25:14
1720506314,-120,16,102,-41,1026,33,-51,807,8:25:14
1720506314,-120,16,103,-43,1023,33,-51,807,8:25:14
1720506314,-120,16,103,-43,1023,33,-51,807,8:25:14
1720506314,-136,12,103,-42,1026,32,-51,807,8:25:14
1720506314,-152,8,103,-42,1024,33,-52,707,8:25:14
1720506314,-152,8,102,-42,1025,33,-51,707,8:25:14
1720506314,-168,4,103,-42,1023,33,-51,707,8:25:14
1720506314,-168,4,103,-42,1026,33,-51,707,8:25:14
1720506314,-168,4,102,-43,1026,33,-51,707,8:25:14
1720506314,-152,8,102,-43,1026,33,-51,707,8:25:14
1720506315,-136,12,100,-42,1023,32,-52,707,8:25:15
1720506315,-168,4,103,-42,1028,33,-51,707,8:25:15
1720506315,72,0,103,-43,1027,34,-51,807,8:25:15
1720506315,-136,12,102,-42,1028,34,-51,707,8:25:15
1720506315,-104,20,104,-42,1028,32,-50,607,8:25:15
1720506315,-120,16,103,-42,1028,33,-52,707,8:25:15
1720506315,-168,4,103,-42,1027,33,-51,807,8:25:15
1720506315,-168,4,103,-42,1027,33,-51,807,8:25:15
1720506316,-152,8,103,-42,1026,32,-51,807,8:25:16
1720506316,-136,12,102,-42,1029,33,-52,780,8:25:16
1720506316,-88,24,102,-41,1028,33,-52,780,8:25:16
1720506316,-104,20,103,-43,1032,33,-52,780,8:25:16
1720506316,-72,28,101,-42,1028,34,-51,880,8:25:16
1720506316,-104,20,102,-41,1029,34,-51,780,8:25:16
1720506316,-104,20,101,-42,1029,33,-51,880,8:25:16
1720506317,-40,36,103,-43,1028,33,-52,880,8:25:17
1720506317,-136,12,103,-43,1027,33,-51,880,8:25:17
1720506317,-88,24,103,-43,1028,33,-52,880,8:25:17
1720506317,-136,12,102,-42,1026,34,-52,880,8:25:17
1720506317,-104,20,103,-42,1027,33,-51,880,8:25:17
1720506317,-104,20,103,-43,1027,32,-52,880,8:25:17
1720506317,-104,20,103,-42,1026,33,-51,780,8:25:17
1720506317,-104,20,104,-42,1027,32,-51,780,8:25:17
1720506317,-152,8,103,-42,1028,33,-52,880,8:25:17
1720506317,-56,32,103,-42,1029,33,-52,880,8:25:17
1720506317,-56,32,103,-42,1029,33,-52,880,8:25:17
1720506318,-88,24,103,-42,1029,33,-52,780,8:25:18
1720506318,-88,24,102,-42,1030,33,-52,780,8:25:18
1720506318,-72,28,103,-42,1028,34,-51,880,8:25:18
1720506318,-120,16,103,-43,1027,34,-51,780,8:25:18
1720506318,-152,8,102,-43,1028,33,-52,880,8:25:18
1720506318,-136,12,102,-42,1030,32,-51,780,8:25:18
1720506318,-104,20,104,-41,1029,33,-51,680,8:25:18
1720506318,-168,4,103,-42,1027,33,-52,780,8:25:18
1720506318,-168,4,103,-42,1025,33,-52,880,8:25:18
1720506319,-120,16,103,-42,1026,33,-52,880,8:25:19
1720506319,-168,4,102,-42,1029,32,-51,780,8:25:19
1720506319,-168,4,104,-42,1026,32,-52,780,8:25:19
1720506319,72,0,103,-43,1028,32,-52,780,8:25:19
1720506319,-168,4,103,-42,1028,34,-51,780,8:25:19
1720506319,-120,16,103,-43,1030,34,-51,880,8:25:19
1720506319,-136,12,103,-42,1026,33,-51,780,8:25:19
1720506319,-168,4,103,-43,1028,33,-51,780,8:25:19
1720506320,-152,8,102,-42,1026,33,-52,880,8:25:20
1720506320,-152,8,103,-43,1026,33,-52,880,8:25:20
1720506320,-168,4,102,-42,1028,33,-52,780,8:25:20
1720506320,-152,8,103,-42,1027,33,-51,880,8:25:20
1720506320,-168,4,103,-42,1027,33,-50,780,8:25:20
1720506320,-152,8,102,-43,1023,33,-52,880,8:25:20
1720506321,-104,20,103,-42,1026,33,-51,780,8:25:21
1720506321,-88,24,103,-42,1026,33,-51,780,8:25:21
1720506321,-168,4,103,-42,1027,33,-51,780,8:25:21
1720506321,-136,12,103,-42,1028,33,-51,780,8:25:21
1720506321,-120,16,102,-42,1025,33,-51,780,8:25:21
1720506321,-72,28,103,-42,1025,33,-51,880,8:25:21
1720506321,-88,24,103,-43,1027,33,-51,680,8:25:21
1720506321,-88,24,103,-43,1027,33,-51,680,8:25:21
1720506321,-120,16,103,-43,1024,33,-51,780,8:25:21
1720506321,-120,16,103,-43,1024,33,-51,780,8:25:21
1720506321,-136,12,104,-41,1025,33,-51,780,8:25:21
1720506322,-104,20,104,-44,1027,33,-51,780,8:25:22
1720506322,-120,16,103,-42,1030,33,-51,780,8:25:22
1720506322,-136,12,104,-42,1026,33,-51,780,8:25:22
1720506322,-56,32,103,-42,1027,33,-50,780,8:25:22
1720506322,-168,4,103,-43,1026,33,-51,880,8:25:22
1720506322,-136,12,103,-43,1028,33,-51,880,8:25:22
1720506322,-136,12,103,-42,1029,33,-52,780,8:25:22
1720506322,-152,8,102,-42,1027,33,-51,780,8:25:22
1720506323,-152,8,102,-42,1028,33,-51,880,8:25:23
1720506323,-136,12,103,-42,1028,33,-51,780,8:25:23
1720506323,-168,4,103,-42,1029,34,-52,880,8:25:23
1720506323,-152,8,103,-43,1027,33,-52,780,8:25:23
1720506323,-152,8,102,-42,1029,34,-52,780,8:25:23
1720506323,72,0,103,-42,1030,33,-51,780,8:25:23
1720506323,-168,4,103,-42,1030,33,-51,780,8:25:23
1720506323,-168,4,103,-43,1029,33,-52,780,8:25:23
1720506323,72,0,103,-42,1029,32,-51,780,8:25:23
1720506324,-168,4,102,-43,1027,33,-51,780,8:25:24
1720506324,-152,8,103,-43,1028,33,-51,780,8:25:24
1720506324,-152,8,102,-42,1026,33,-51,780,8:25:24
1720506324,-168,4,103,-43,1027,33,-52,880,8:25:24
1720506324,-136,12,103,-42,1028,34,-51,780,8:25:24
1720506324,-136,12,102,-43,1028,33,-51,780,8:25:24
1720506324,-120,16,102,-43,1028,33,-51,880,8:25:24
1720506324,-120,16,103,-43,1028,33,-51,780,8:25:24
1720506325,-88,24,102,-41,1028,33,-51,880,8:25:25
1720506325,-88,24,103,-43,1027,33,-51,880,8:25:25
1720506325,-120,16,102,-42,1027,32,-52,880,8:25:25
1720506325,-56,32,103,-42,1029,33,-52,880,8:25:25
1720506325,-136,12,102,-43,1028,32,-52,880,8:25:25
1720506325,72,0,104,-42,1029,33,-51,780,8:25:25
1720506325,-168,4,104,-42,1029,33,-51,780,8:25:25
1720506325,-168,4,102,-42,1026,33,-51,780,8:25:25
1720506325,-168,4,102,-42,1026,33,-51,780,8:25:25
1720506325,-168,4,102,-42,1026,33,-51,780,8:25:25
1720506325,72,0,103,-42,1026,33,-51,780,8:25:25
1720506325,72,0,104,-43,1027,33,-52,780,8:25:25
1720506325,-168,4,104,-43,1027,33,-52,780,8:25:25
1720506326,-168,4,103,-42,1027,33,-51,780,8:25:26
1720506326,-168,4,103,-42,1027,33,-51,780,8:25:26
1720506326,-168,4,102,-42,1029,33,-52,880,8:25:26
1720506326,-168,4,102,-42,1025,33,-51,780,8:25:26
1720506326,-136,12,102,-42,1023,32,-51,880,8:25:26
1720506326,-104,20,102,-41,1019,33,-51,780,8:25:26
1720506326,-88,24,102,-43,1021,33,-51,780,8:25:26
1720506326,-104,20,104,-43,1023,34,-51,780,8:25:26
1720506326,-72,28,104,-43,1023,34,-51,780,8:25:26
